,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BIOCON,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,466674.260955087,366.674260955087,362.587774835962,100,11646.782559293,38.9751552795031,379 days 00:00:00,10,9,1,-29121.8848808029,100,52.5938318627317,3.69880110748133,20.5357611618839,,115 days 13:20:00,,inf,43977.3495373211,-61.7457416089502,1.15025827783866,0.00314929885350347,-18.9126651997454
RELIANCE,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,459169.549054734,359.169549054734,375.289552474001,100,24163.4376226948,45.0883567812665,239 days 00:00:00,17,16,1,-48140.5060322725,93.75,26.3440287207453,-5.33050414644888,12.0953168178886,-5.33050414644888,82 days 00:00:00,96 days 00:00:00,33.371422139333,25456.8784429379,-73.0355642552713,0.981806044036838,0.00253831030484322,-18.9667677740027
VOLTAS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,458765.857531207,358.765857531207,279.40485512921,100,15693.3317595216,40.4896678715133,367 days 00:00:00,12,11,1,-6046.10103902413,90.9090909090909,39.8742216154396,-3.65771563961786,17.6710270438361,-3.65771563961786,122 days 14:24:00,135 days 00:00:00,43.5719298132948,33164.7235063847,-66.5951668480847,1.0925630067262,0.000704549322274953,-18.9391919383715
JUBLFOOD,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,457063.399579214,357.063399579214,312.224691856941,100,23450.4507417768,41.0630920035426,359 days 00:00:00,19,18,1,-138593.320798848,88.8888888888889,40.409220121713,-13.9610622942084,13.4041673213047,-7.4711127940425,61 days 09:00:00,165 days 12:00:00,34.3711523620052,27536.4844654479,-55.9860074659811,1.07416727622566,0.00253688056204781,-18.872580010816
BALKRISIND,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,448062.976084766,348.062976084766,516.144215092136,100,26468.318510291,53.3129000293133,513 days 00:00:00,18,17,1,-149122.624727665,88.2352941176471,33.9776726599177,-25.0219020783733,16.3347415771813,-19.1234453818351,62 days 17:36:00,186 days 12:00:00,5.02506947059963,29246.211812496,-59.9382381218082,0.814458267877313,0.00300018249047614,-18.9016926112838
COROMANDEL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,413196.246908767,313.196246908767,321.795209265598,100,18830.7077529403,40.655822806714,593 days 00:00:00,15,14,1,-19068.9204114504,92.8571428571429,33.3295097800619,-20.1832324938238,14.1892100183498,-20.1832324938238,63 days 00:00:00,443 days 00:00:00,5.91468693999666,23733.2262371584,-66.8536890592778,0.999966739936336,0.00025475534361633,-18.9402770387125
VBL,08-NOV-2016,16-FEB-2022,1309 days 00:00:00,100000,411410.775761696,311.410775761696,206.54849345477,100,11449.6485889419,37.2131633560628,200 days 00:00:00,11,10,1,2497.55349498166,90,29.2273569154485,-0.40973437417092,17.311909864696,-0.40973437417092,116 days 05:20:00,84 days 00:00:00,756.820172395877,30891.3222266714,-62.0859004011521,1.29923786303044,0.0015342737157458,-18.9149329834527
OBEROIRLTY,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,394915.34684516,294.91534684516,232.194674012855,100,9025.18492115862,53.0420841683367,473 days 00:00:00,8,7,1,5790.53060308879,85.7142857142857,62.7517505798497,-8.97177055411393,29.1180822692677,-8.97177055411393,163 days 20:00:00,404 days 00:00:00,14.4535612852591,41303.5451774388,-50.0072230488697,0.73776072095967,0.00685210027712672,-18.8144571910879
CHOLAFIN,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,377457.276396889,277.457276396889,424.26614481409,100,10337.3359418264,64.3659711075441,436 days 00:00:00,12,11,1,84174.9529134827,90.9090909090909,50.7884839605855,-20.7644459293754,14.7509011935952,-20.7644459293754,94 days 21:36:00,214 days 00:00:00,5.08661792026013,17571.1203166733,-47.9382712820159,0.584594052758189,0.00562920809151055,-18.7891384385714
ICICIBANK,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,375319.044333,275.319044333,219.565853862561,100,8895.2262450498,48.3072442664725,262 days 00:00:00,7,6,1,-29500.4674069745,83.3333333333333,91.6870324189526,-6.55452041406049,38.3609058789533,-6.55452041406049,265 days 09:36:00,135 days 00:00:00,29.2238501744971,50803.2519566624,-59.1148764539293,0.775041034839484,0.00340997086148284,-18.8950562095962
BATAINDIA,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,370528.071622134,270.528071622134,271.597518417991,100,17043.6664893711,43.3255019222554,414 days 00:00:00,13,12,1,-34630.5688191743,83.3333333333333,48.695462521989,-13.8348613536128,18.5750010821632,-9.75286295667065,97 days 07:12:00,196 days 00:00:00,5.56027678812521,25429.8867034424,-72.4626833207984,0.854374094424211,0.000503457514288549,-18.9643001632578
MINDTREE,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,369472.497641206,269.472497641206,440.005827101573,100,22696.7374499581,42.5448599337321,496 days 00:00:00,22,21,1,-45262.1769980231,90.4761904761905,23.1279376273889,-18.8501619914453,9.36630210385555,-11.483629781136,29 days 08:50:31.578947368,311 days 12:00:00,10.1789700582012,14987.3654590109,-63.748669396587,0.867842299640593,0.00249183059563077,-18.9240285862227
BAJAJHLDNG,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,363494.168357013,263.494168357013,216.928030528891,100,18663.0976693301,60.9221747035776,371 days 00:00:00,18,17,1,33665.5772076414,88.2352941176471,25.2432311793671,-35.8401469647026,11.8603904629997,-18.3982170346771,77 days 12:48:00,86 days 12:00:00,3.22652311651457,13519.3288911395,-70.2430690712548,0.597257270345881,0.00132337342079441,-18.9553766146539
DLF,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,361542.405541139,261.542405541139,202.632661456192,100,15966.9512879829,56.5917533656129,755 days 00:00:00,14,13,1,-49025.5313539832,76.9230769230769,71.8309739154569,-19.2611916096994,19.9298587550036,-8.49575630732248,68 days 14:24:00,222 days 08:00:00,5.63815677815974,23889.8412996248,-45.6861984841903,0.639841759617597,0.00461497486979383,-18.7582062496046
PAGEIND,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,354799.339302574,254.799339302574,205.479502751596,100,17384.7477913055,50.848831485337,767 days 00:00:00,16,15,1,31644.1986613079,93.3333333333333,36.7398280082021,-36.4554659389575,12.7029888816832,-36.4554659389575,79 days 12:00:00,258 days 00:00:00,3.03082973715663,14877.0093760844,-62.6812655576638,0.70000728278596,0.00129690182552197,-18.9177383222429
HAVELLS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,348363.465619219,248.363465619219,276.118472330475,100,18344.7854768322,42.1764853977845,343 days 00:00:00,15,14,1,-63863.1108629124,92.8571428571429,48.3254129678582,-8.08001962006747,12.967718796,-8.08001962006747,63 days 11:04:36.923076923,489 days 00:00:00,16.6335866991537,22301.8983201523,-69.4116550181517,0.829823177500332,0.0013429361647645,-18.9517518553488
NESTLEIND,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,346911.186222419,246.911186222419,215.00998245508,100,7293.18652541176,22.8798841826506,276 days 00:00:00,8,7,1,-31506.2332787656,100,61.768471007646,4.4770483802453,22.1869386615318,,193 days 10:17:08.571428570,,inf,39773.9170715978,-88.9514096534327,1.52376156279441,0.000647726986783747,-19.0111274583963
PIDILITIND,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,345358.352972885,245.358352972885,336.129612961296,100,6816.12124035893,28.4659508751287,193 days 00:00:00,7,6,1,-41535.0373482051,83.3333333333333,60.5860332209618,-2.77832705527032,33.2691498653915,-2.77832705527032,250 days 04:48:00,157 days 00:00:00,97.0023835679867,47815.565053515,-83.5054957468562,1.21963566840327,0.000171073028406439,-18.9986148424086
BERGEPAINT,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,345291.216777103,245.291216777103,287.950903146272,100,11913.2427369777,32.8802830013033,232 days 00:00:00,10,9,1,-37447.0134415925,100,57.5756608069878,0.497635524545421,17.2734440136005,,135 days 08:00:00,,inf,31415.3589131884,-73.2696504066682,1.05570233549638,0.000931812042845627,-18.9672416736847
PRESTIGE,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,337477.573595618,237.477573595618,127.489733059548,100,10046.8602455386,65.5203272820251,462 days 00:00:00,10,9,1,10173.5054828255,88.8888888888889,64.9849941345233,-37.8247538883464,24.5796655788772,-37.8247538883464,151 days 00:00:00,100 days 00:00:00,3.23295206122116,25256.0075680881,-44.927485048392,0.518502033363849,0.00604272448690848,-18.7464609426649
SYNGENE,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,335305.711445306,235.305711445306,173.545606894902,100,12695.0461347987,36.7419400653316,335 days 00:00:00,13,12,1,-34946.4634117024,100,37.9409566233116,3.51275846302199,11.9480284168606,,110 days 10:00:00,,inf,22521.0145714173,-69.7170080741887,0.918966242417463,0.00146383813657882,-18.9530097160303
ASIANPAINT,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,332430.012531818,232.430012531818,270.167852062588,100,13694.2802924055,28.8550057537399,226 days 00:00:00,14,13,1,-8104.02942129044,100,22.5317891705503,0.994804506709854,10.0665117829224,,100 days 09:13:50.769230769,,inf,18502.6186117776,-83.6223671241775,1.16055616539394,0.000390664284317237,-18.9988670387189
DIVISLAB,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,323567.299303916,223.567299303916,284.098924731184,100,6696.58728389211,59.4421718110822,495 days 00:00:00,10,9,1,33322.9311375346,88.8888888888889,62.3030589112439,-45.4422028044213,24.2520987928525,-45.4422028044213,128 days 12:00:00,214 days 00:00:00,4.41232512386075,21138.2631295979,-64.4561105701924,0.54882478846733,0.00230416333106653,-18.9275918195269
GMRINFRA,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,321863.454406011,221.863454406011,147.112462006079,100,9906.1965389742,40.3313122320292,516 days 00:00:00,10,9,1,-10364.6440885363,77.7777777777778,76.5927369077307,-8.54163877716633,22.8278423117563,-6.03028547509897,132 days 13:42:51.428571430,222 days 00:00:00,12.0167184482409,25803.1220549497,-48.2250728909158,0.804711702923728,0.00514549046215962,-18.7922344767657
HDFCBANK,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,307304.102878891,207.304102878891,178.438576349024,100,4556.94085738216,41.0549754299754,219 days 00:00:00,5,4,1,30440.9995657523,100,52.5057354052105,15.1684471078552,29.9759132325315,,295 days 00:00:00,,inf,44215.7758282846,-89.0815167879472,0.754817083848757,0.000903154687018764,-19.011285500171
JSWSTEEL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,301776.738090049,201.77673809005,521.226874391432,100,13052.8211127661,66.2630380050354,625 days 00:00:00,13,12,1,-47265.350726007,91.6666666666667,55.1728611164397,-42.076460845021,19.0615332228066,-42.076460845021,67 days 04:21:49.090909091,467 days 00:00:00,2.78271944719218,20753.507401338,-60.3627742028374,0.45905800791612,0.00132569446765565,-18.9030444539987
MANAPPURAM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,294162.948567587,194.162948567587,324.789207419897,100,20649.3610518103,58.5231736056559,289 days 00:00:00,15,14,1,-164958.319536611,85.7142857142857,43.6875991838586,-4.37051216860233,14.4570525122213,-2.26785618781596,79 days 18:00:00,169 days 00:00:00,17.8191703982245,25651.5191502999,-47.3228980436155,0.506119212536329,0.00567063049916239,-18.7817307240105
HINDZINC,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,291818.738994917,191.818738994917,112.872946697956,100,8784.38559697655,62.2178754137827,746 days 00:00:00,10,10,0,0,90,34.5615949832846,-37.5534334508229,19.0753610726069,-37.5534334508229,62 days 00:00:00,835 days 00:00:00,3.38595381468451,19181.8738994917,-65.7301394496681,0.472060100122844,0.00163035403672383,-18.9340921321406
VGUARD,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,291460.378156665,191.460378156665,218.662496276436,100,24607.1695743794,40.0714250602349,689 days 00:00:00,23,22,1,-64095.5675547097,90.9090909090909,22.7170538959612,-19.8898486993429,8.35632236607458,-14.2600599675613,40 days 00:00:00,215 days 00:00:00,4.26203090501788,11616.179350517,-67.7934907887464,0.732001883413643,0.00204069710890064,-18.9447043030175
APOLLOHOSP,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,289048.542338649,189.048542338649,213.855421686746,100,13518.9090878882,39.5318487254956,742 days 00:00:00,14,13,1,-63933.2542117763,84.6153846153846,37.4501929598279,-13.1046122948815,15.107819142496,-9.90880018333004,85 days 02:10:54.545454546,182 days 12:00:00,14.3903452116795,19460.1381961865,-63.6818284540389,0.735463007401041,0.00328552179517847,-18.9231058535017
IGL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,288830.508602082,188.830508602082,267.01774361894,100,18196.1981850793,41.614014933946,349 days 00:00:00,15,14,1,-151687.293205306,92.8571428571429,36.002233316086,-12.123850356284,13.5998177702781,-12.123850356284,84 days 12:55:23.076923076,194 days 00:00:00,8.75400729168871,24322.7001290991,-71.257463694113,0.698101229536778,0.000357435489072812,-18.9592024793818
SBIN,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,288686.338929744,188.686338929744,126.821773485514,100,16493.2292180144,59.0215346723013,385 days 00:00:00,18,17,1,33705.2122247848,82.3529411764706,76.3810039962736,-34.9672057241714,12.0717636894158,-14.3242122400801,60 days 17:08:34.285714286,163 days 16:00:00,2.74884862182172,9116.53686499757,-57.8869211325224,0.491944230173107,0.00417341232648969,-18.8896322962726
ADANITRANS,30-OCT-2018,16-FEB-2022,651 days 00:00:00,100000,287643.564367574,187.643564367574,1088.53013530135,100,7649.9383747567,54.0586008691995,253 days 00:00:00,10,10,0,0,90,24.6688711053956,-31.0980589357552,17.3763225932755,-31.0980589357552,42 days 00:00:00,128 days 00:00:00,5.57482800294761,18764.3564367574,-49.0472879244003,1.49521582863517,0.00611454674405319,-18.8065049564068
TCS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,283556.94023326,183.55694023326,215.601721569276,100,10666.0782201503,28.1656752782107,303 days 00:00:00,12,11,1,-1628.81821343134,100,24.4452047677285,1.30730784122159,10.2063006917615,,123 days 04:21:49.090909092,,inf,16835.0689496992,-85.1482558211226,1.01116933875207,0.000309622510793756,-19.0024340109508
TATASTEEL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,282141.913904119,182.141913904119,363.014763014766,100,8300.84497421589,67.613273771538,822 days 00:00:00,9,8,1,-52660.6814896035,87.5,126.323718845124,-41.602130546807,32.7846040551814,-41.602130546807,78 days 13:42:51.428571428,714 days 00:00:00,3.41519975426035,29350.3244242153,-57.0328571037926,0.418938605811236,0.00143310570096016,-18.8791456846791
HINDUNILVR,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,269957.032144131,169.957032144131,166.942968886813,100,10727.735502522,20.7694317702157,294 days 00:00:00,10,9,1,-57837.9860963076,100,42.8798157999258,1.27863708037844,14.891057545768,,151 days 05:20:00,,inf,25310.557582271,-93.6206206540305,1.29858236056036,0.00132981905075026,-19.0199644513854
BRITANNIA,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,265776.006941981,165.776006941981,131.851058130191,100,9292.16071314134,37.3266461306994,431 days 00:00:00,9,8,1,-47576.5448658897,87.5,44.3041308320763,-0.599769846914007,18.4644443385264,-0.599769846914007,156 days 20:34:17.142857144,271 days 00:00:00,122.165609393957,26669.0689759838,-83.890248777214,0.709819255671315,0.00125969981356868,-18.9992976703648
ADANIPORTS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,259900.037161125,159.900037161125,176.864137544384,100,7541.8693515856,53.6935933147632,725 days 00:00:00,8,7,1,-40741.3539753125,100,31.3578513222682,6.92477818436599,17.271603615308,,184 days 00:00:00,,inf,28663.055876634,-58.1173201382143,0.480820930870584,0.00204654943179584,-18.8871483036185
UPL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,258400.34133487,158.40034133487,150.638689239363,100,7800.83219667284,63.5426362139329,459 days 00:00:00,8,7,1,-32652.4209656447,71.4285714285714,37.2647637013503,-12.8640788758764,27.8426719880074,-6.79470054628573,190 days 19:12:00,243 days 00:00:00,7.38694357111989,27293.2517572163,-58.3141428899011,0.403540931936761,0.00266744493281167,-18.8886269912359
INFY,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,257431.761825257,157.431761825257,213.65133364699,100,4514.33294703115,37.3385704933643,520 days 00:00:00,6,5,1,24519.1013734317,80,54.2252905548133,-3.54844844962028,25.7712187476212,-3.54844844962028,205 days 00:00:00,455 days 00:00:00,38.5501980639493,26582.5320903651,-79.0120893098216,0.683707307061998,0.000901316340025455,-18.9859644139267
WIPRO,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,255967.099140346,155.967099140346,170.235299755596,100,9519.44032691804,45.7295671068026,322 days 00:00:00,13,12,1,-51622.5875766408,83.3333333333333,55.107141364466,-8.97059776137368,14.1449595431647,-6.05428302600989,62 days 07:12:00,329 days 00:00:00,14.8754161944681,17299.1405597489,-83.4961992212188,0.55448926024777,0.0013600903503531,-18.9983055586717
BBTC,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,252532.20702945,152.53220702945,106.77828513445,100,20805.9302202535,69.168923873896,855 days 00:00:00,17,16,1,-67335.0092163669,81.25,29.4975269163172,-37.9931646430459,15.7189495415862,-19.8000313298559,48 days 05:32:18.461538462,203 days 16:00:00,1.97546492427096,13741.7010153636,-50.9190441659014,0.360711063120762,0.00830390585718633,-18.8236075489039
PGHH,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,251718.604810232,151.718604810232,178.210859768885,100,8963.18053466027,27.8229902268267,317 days 00:00:00,11,10,1,38977.6231086033,90,23.4606691980906,-7.41723011851993,9.9488474173356,-7.41723011851993,112 days 00:00:00,188 days 00:00:00,8.97095316242665,11274.0981701629,-103.782648901114,0.893257060330316,0.000555935796392662,-19.0356426217842
HCLTECH,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,250833.136333202,150.833136333202,176.121343957627,100,12373.5617854466,34.7221105123462,228 days 00:00:00,13,12,1,-32113.8460165773,91.6666666666667,34.6694984724315,-4.15665041661636,10.7291023566434,-4.15665041661636,118 days 04:21:49.090909092,75 days 00:00:00,45.1231115016283,15245.5818624816,-79.0778395191916,0.712725616691343,0.00101779105140347,-18.9861266853731
WHIRLPOOL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,250665.941340255,150.665941340255,165.379586185679,100,16055.4952230165,34.1002984838601,265 days 00:00:00,13,12,1,-106478.686068727,91.6666666666667,43.3549416107533,-8.4942246916817,14.0630446070803,-8.4942246916817,113 days 21:49:05.454545454,107 days 00:00:00,9.67577298119505,21428.7189507485,-66.8273169232846,0.725135558220326,0.00151711062884696,-18.9393165705278
