,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ESCORTS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,825204.475529869,725.204475529869,990.070505287908,100,30154.0862576529,56.6978155083097,539 days 00:00:00,21,20,1,-1046.81833471381,95,70.2698160512697,-10.2144405238018,13.3130035515851,-10.2144405238018,59 days 18:56:50.526315790,205 days 00:00:00,19.5154029996185,36312.5646932291,-50.9765415008228,1.16593583429588,0.00655361976477569,-18.8271113602515
SRF,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,817269.449611949,717.269449611949,94.9687277333547,100,33635.2028595089,35.9280353307431,290 days 00:00:00,19,18,1,14936.2749535072,100,30.1589221811553,1.24338385283017,12.6447887866039,,71 days 09:20:00,,inf,39018.5097032468,-62.0107980122153,1.82922747983906,0.00262494309582297,-18.9153644859632
BAJFINANCE,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,782173.260776434,682.173260776434,1059.56626585082,100,34194.8237696222,62.5239475868004,244 days 00:00:00,21,20,1,-70585.3025892894,90,48.6759305984289,-12.4591041115685,14.4650533687204,-8.812873465375,55 days 04:00:00,137 days 12:00:00,9.46267601405692,37637.9281682862,-54.0580463458051,1.0232999429211,0.00335619946646849,-18.8567892697067
MPHASIS,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,766406.084792985,666.406084792985,502.185957489678,100,34017.5740850712,49.4502896323443,484 days 00:00:00,18,17,1,-62939.5857542312,94.1176470588235,42.0098117115574,-5.69652730183777,15.1644558382908,-5.69652730183777,50 days 19:30:00,531 days 00:00:00,50.2019781416298,42902.6865027774,-63.0170810464456,1.27764229155415,0.00171930253573921,-18.9211305810899
LTI,21-JUL-2016,16-FEB-2022,1382 days 00:00:00,100000,754080.369233241,654.080369233241,760.507454128441,100,38504.5113316976,36.3788437884379,336 days 00:00:00,19,18,1,-148297.773130728,94.4444444444444,32.5717297264486,-4.05869615834727,14.4620958710244,-4.05869615834727,66 days 09:52:56.470588235,90 days 00:00:00,80.5532341760426,44576.5634646649,-63.9586470763975,1.93805151730542,0.00268374406346967,-18.9267887337925
TITAN,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,699671.06196846,599.67106196846,606.731998295697,100,33143.5856124326,40.302605400068,270 days 00:00:00,21,20,1,-2612.47386230703,100,37.6207367943777,1.32263978920398,10.5667658597903,,64 days 22:48:00,,inf,30114.1767915383,-65.9456848835077,1.47990810852224,0.00361998092273865,-18.937072697393
MUTHOOTFIN,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,630952.107033826,530.952107033826,658.601398601393,100,15745.9517115578,42.5426868554126,313 days 00:00:00,10,9,1,-58503.1099476207,100,98.2549875311721,0.589410948916602,26.5288109606931,,136 days 00:00:00,,inf,65495.0241090496,-53.877220169826,1.30985377012899,0.00572194079709894,-18.8548448881059
HINDALCO,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,625013.994726091,525.013994726091,523.439340400471,100,14080.0078676804,68.5847033595425,800 days 00:00:00,10,9,1,99642.9513137287,88.8888888888889,67.3021600464432,-30.4761129077634,30.09978005994,-30.4761129077634,76 days 21:00:00,697 days 00:00:00,4.55920464677304,47263.4492680402,-51.1038392797752,0.807337989677255,0.00295451254271522,-18.8275278633859
VEDL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,581577.794333452,481.577794333452,300.545553737043,100,20828.1840127672,82.1903935185185,940 days 00:00:00,14,13,1,55282.6591662451,92.3076923076923,104.140151424324,-62.2603570178802,27.3548284874325,-62.2603570178802,52 days 18:00:00,717 days 00:00:00,2.35935555343009,32791.9334744006,-46.9484682936201,0.641234158703493,0.00446669025757143,-18.7778509324911
NAUKRI,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,555902.50324554,455.90250324554,420.47159090909,100,22890.0571679215,45.0589611149011,216 days 00:00:00,11,10,1,-250956.859812693,100,217.531395187681,0.030742392656639,31.8870181685112,,135 days 04:48:00,,inf,70685.9363058233,-53.9131366510276,1.13305778294694,0.00389905895609313,-18.8547751100962
GODREJPROP,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,536905.896769995,436.905896769995,370.890207715134,100,27942.568760744,52.0876112251882,293 days 00:00:00,18,17,1,-275885.077205802,88.2352941176471,38.073509010507,-20.7247396395408,17.7130569090531,-13.9622259763757,63 days 12:48:00,189 days 12:00:00,7.8490125347169,41928.8808221057,-52.7509492282969,0.956019966422826,0.00440869499058677,-18.8436493640147
NATIONALUM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,534896.062249709,434.896062249709,200.124223602484,100,14712.7170803336,69.1084088762708,919 days 00:00:00,14,13,1,47830.9812428018,84.6153846153846,69.0426207606422,-51.3814057413717,25.4624315938256,-27.9501769679656,65 days 19:38:10.909090909,317 days 00:00:00,3.24392613518046,29774.2370005313,-47.9082975731136,0.718606827818069,0.0053632995176283,-18.7898063514293
HEG,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,519089.9161322,419.0899161322,667.450871851647,100,39522.4822192843,88.5767798911477,827 days 00:00:00,20,19,1,-233396.233533962,84.2105263157895,47.5168601428798,-58.1893877591597,21.7190634863228,-25.7505410630708,34 days 09:00:00,188 days 16:00:00,2.02046794857414,34341.376298219,-37.8724011510596,0.548521289108362,0.0202155112035711,-18.6130092564493
LTTS,23-SEP-2016,16-FEB-2022,1339 days 00:00:00,100000,514976.099908606,414.976099908606,415.949367088608,100,23100.3978152994,41.7390710269331,320 days 00:00:00,17,16,1,-102410.097720191,87.5,37.5537249102727,-14.6547619170346,16.2211030577375,-9.8060614644779,52 days 12:00:00,222 days 00:00:00,13.4922720099863,32336.6373517998,-56.0107292694459,1.34944348075679,0.00637178292027243,-18.8740645430621
JINDALSTEL,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,497445.758527679,397.445758527679,339.437367303606,100,21847.9138426367,77.5017702799791,717 days 00:00:00,17,16,1,-53999.6372841105,87.5,63.1284178559943,-49.0662294882977,19.9130251914034,-25.763239580333,46 days 18:51:25.714285714,283 days 00:00:00,3.95822527778796,28215.3372382369,-39.4082062798393,0.607371534741846,0.00882176807959239,-18.6506172338906
GRAPHITE,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,485955.828875066,385.955828875066,487.057457922227,100,25998.0785251803,89.5982715238075,869 days 00:00:00,16,15,1,-230862.542581493,86.6666666666667,47.7933417932604,-56.602181579633,28.0866459732561,-43.418145101263,44 days 09:13:50.769230769,274 days 12:00:00,2.42550253124452,41121.2247637706,-42.1287470105884,0.516173910549806,0.0130210867694738,-18.7021261705879
TATACONSUM,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,484889.157744891,384.889157744891,378.82513661202,100,17098.0643405864,44.8196469685342,458 days 00:00:00,13,12,1,-29400.2087321586,91.6666666666667,89.3574394451675,-25.5806582536946,21.0764898265753,-25.5806582536946,85 days 19:38:10.909090909,338 days 00:00:00,7.64051965592595,34524.1138730875,-63.8879955378332,1.03015176658192,0.00190123284162393,-18.9251928688695
PIIND,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,484251.156623145,384.251156623145,291.525295936061,100,9795.87378749593,36.8126368470441,301 days 00:00:00,8,7,1,22102.555264629,100,62.2963691591584,3.8272677680798,25.7216181294223,,179 days 13:42:51.428571430,,inf,51735.514479788,-64.4270902170442,1.25296025190001,0.00222975129551945,-18.9281321794613
BAJAJFINSV,01-JAN-2016,16-FEB-2022,1518 days 00:00:00,100000,482237.754035147,382.237754035147,720.266659945558,100,20057.8450749928,58.5895848598934,362 days 00:00:00,16,15,1,-54793.1108991035,93.3333333333333,51.7998761313785,-6.43412076583185,14.1389869146819,-6.43412076583185,64 days 06:51:25.714285715,395 days 00:00:00,22.1289011180767,29135.3909956167,-60.3754534669352,0.784754745383689,0.00136467637155158,-18.9040843132365
