,TCS,RELIANCE,HDFCBANK,HDFC,INFY,ITC,SBIN,ONGC,COALINDIA,POWERGRID,NTPC,HCLTECH,WIPRO,ICICIBANK,HINDZINC,TATASTEEL,HINDUNILVR,LT,GAIL,KOTAKBANK,PFC,MARUTI,ULTRACEMCO,JSWSTEEL,BAJAJ-AUTO,BAJFINANCE,TECHM,INDUSINDBK,HEROMOTOCO,NMDC,SUNPHARMA,BANDHANBNK,MUTHOOTFIN,NHPC,DRREDDY,PETRONET,BPCL,ASIANPAINT,HINDPETRO,OIL,SRTRANSFIN,LICHSGFIN,CIPLA,DLF,IBULHSGFIN,SAIL,ADANIPORTS,EICHERMOT,AUROPHARMA,BAJAJHLDNG,BEL,HUDCO,AXISBANK,OFSS,SHREECEM,LTI,FEDERALBNK,TITAN,BRITANNIA,SBILIFE,NIACL,CADILAHC,MRF,DIVISLAB,SUNTV,GLENMARK,M&M,IOC,HDFCLIFE,GRASIM,ALKEM,HDFCAMC,TORNTPOWER,MANAPPURAM,MPHASIS,ICICIGI,GODREJCP,DABUR,IGL,GSPL,PIDILITIND,ICICIPRULI,COROMANDEL,CHOLAFIN,MARICO
Max Drawdown Duration,303 days 00:00:00,239 days 00:00:00,219 days 00:00:00,239 days 00:00:00,520 days 00:00:00,1139 days 00:00:00,385 days 00:00:00,1005 days 00:00:00,1363 days 00:00:00,874 days 00:00:00,1046 days 00:00:00,228 days 00:00:00,322 days 00:00:00,262 days 00:00:00,746 days 00:00:00,822 days 00:00:00,294 days 00:00:00,545 days 00:00:00,866 days 00:00:00,457 days 00:00:00,1185 days 00:00:00,882 days 00:00:00,365 days 00:00:00,625 days 00:00:00,716 days 00:00:00,244 days 00:00:00,402 days 00:00:00,875 days 00:00:00,1105 days 00:00:00,1032 days 00:00:00,1445 days 00:00:00,575 days 00:00:00,313 days 00:00:00,1064 days 00:00:00,917 days 00:00:00,569 days 00:00:00,1063 days 00:00:00,226 days 00:00:00,1106 days 00:00:00,1013 days 00:00:00,873 days 00:00:00,1157 days 00:00:00,453 days 00:00:00,755 days 00:00:00,1072 days 00:00:00,1012 days 00:00:00,725 days 00:00:00,1101 days 00:00:00,634 days 00:00:00,371 days 00:00:00,1044 days 00:00:00,1091 days 00:00:00,672 days 00:00:00,697 days 00:00:00,483 days 00:00:00,336 days 00:00:00,1073 days 00:00:00,270 days 00:00:00,431 days 00:00:00,315 days 00:00:00,922 days 00:00:00,952 days 00:00:00,604 days 00:00:00,495 days 00:00:00,1011 days 00:00:00,1313 days 00:00:00,858 days 00:00:00,1106 days 00:00:00,310 days 00:00:00,954 days 00:00:00,511 days 00:00:00,554 days 00:00:00,556 days 00:00:00,289 days 00:00:00,484 days 00:00:00,232 days 00:00:00,685 days 00:00:00,288 days 00:00:00,349 days 00:00:00,417 days 00:00:00,193 days 00:00:00,565 days 00:00:00,593 days 00:00:00,436 days 00:00:00,299 days 00:00:00
Total Trades,12,17,5,8,6,6,18,9,10,2,6,13,13,7,10,9,10,9,7,11,8,7,7,13,5,21,9,10,5,12,4,10,10,10,9,5,8,14,14,14,6,7,5,14,11,12,8,11,7,18,9,5,5,8,9,19,9,21,9,7,7,7,10,10,8,6,9,17,7,11,10,14,8,15,18,8,9,6,15,11,7,8,15,12,3
Total Closed Trades,11,16,4,7,5,5,17,8,9,1,5,12,12,6,10,8,9,8,6,10,7,6,6,12,4,20,8,9,4,11,3,9,9,9,8,4,7,13,13,13,5,6,4,13,10,11,7,10,6,17,8,4,4,7,8,18,8,20,8,6,6,6,9,9,7,5,8,16,6,10,9,13,7,14,17,7,8,5,14,10,6,7,14,11,2
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-1628.8182134313392,-48140.506032272475,30440.99956575234,-27038.778833539516,24519.10137343171,-11994.967086715813,33705.2122247848,3580.110288951648,-8947.213773952928,-22691.421272786363,-12431.423749564841,-32113.8460165773,-51622.58757664077,-29500.467406974465,0.0,-52660.681489603536,-57837.98609630758,36763.1037921494,-14007.245813464891,-48247.18521423376,-287.72094360980554,20742.255446452153,-31517.727108513034,-47265.35072600702,-26087.70564678157,-70585.30258928938,3031.358084606123,-13441.172365989492,-12009.86803742245,-36235.465195369325,9900.027129272436,-475.6886464784475,-58503.10994762066,-14167.291023855883,-26582.40657166406,-29553.90580815263,-46819.59874785907,-8104.029421290441,-12265.32799050794,-7747.591190256615,-323.2678737200331,-27483.258934047728,-1193.7937696608424,-49025.531353983155,-13381.554565495346,-36030.88379026181,-40741.35397531249,-9602.24956037561,2735.1543346041144,33665.577207641385,-5770.674447689642,-4534.153549946212,41207.513838555955,-30680.132508157316,-56827.48432521001,-148297.77313072782,1618.6642556719598,-2612.47386230703,-47576.54486588971,-16030.848143185227,-6040.471589199122,-60424.57325498911,-59239.75706763001,33322.931137534615,8621.047519466258,5666.0838921861,-8844.0621222849,-10539.92060424843,-35457.800612019404,45921.20237255693,-30558.34203603142,-73689.90013443085,22278.71985941936,-164958.31953661097,-62939.5857542312,-51509.495362998074,-82316.43145696967,33937.30629634825,-151687.29320530576,-29446.250380447775,-41535.03734820511,-17408.65812047891,-19068.92041145044,84174.95291348273,11297.50100500678
Win Rate [%],100.0,93.75,100.0,100.0,80.0,60.0,82.35294117647058,75.0,66.66666666666666,100.0,80.0,91.66666666666666,83.33333333333334,83.33333333333334,90.0,87.5,100.0,87.5,83.33333333333334,100.0,71.42857142857143,83.33333333333334,100.0,91.66666666666666,100.0,90.0,87.5,77.77777777777779,75.0,81.81818181818183,33.33333333333333,66.66666666666666,100.0,77.77777777777779,87.5,100.0,85.71428571428571,100.0,84.61538461538461,84.61538461538461,80.0,83.33333333333334,75.0,76.92307692307693,70.0,81.81818181818183,100.0,80.0,50.0,88.23529411764706,75.0,50.0,50.0,71.42857142857143,75.0,94.44444444444444,75.0,100.0,87.5,66.66666666666666,50.0,83.33333333333334,88.88888888888889,88.88888888888889,85.71428571428571,60.0,75.0,87.5,83.33333333333334,70.0,88.88888888888889,84.61538461538461,85.71428571428571,85.71428571428571,94.11764705882352,100.0,87.5,100.0,92.85714285714286,80.0,83.33333333333334,85.71428571428571,92.85714285714286,90.9090909090909,100.0
Best Trade [%],24.445204767728466,26.34402872074533,52.505735405210466,26.55270474391861,54.225290554813334,66.16689486813148,76.38100399627356,39.72330705436124,10.308537248136847,72.46585620857088,39.55676757163515,34.66949847243149,55.10714136446596,91.6870324189526,34.56159498328464,126.32371884512361,42.879815799925765,37.07671903813491,86.07399965994108,24.301898120222926,31.270571413105163,57.750246486721245,38.15795864182816,55.172861116439655,36.750274506764214,48.6759305984289,54.62573663451229,38.212639764490646,48.58453734332943,37.065825124688274,34.62221060464463,27.466518559460575,98.25498753117206,58.10791140127212,36.38071554783825,34.11933892626582,37.371125327827926,22.531789170550347,27.07170935534464,31.095223994254724,42.81931224667568,50.903837332481835,31.666612161544034,71.83097391545688,33.527207556919564,41.539276807980094,31.357851322268175,34.40668959729892,13.31816635543591,25.243231179367108,29.90501243145417,7.2380368820438035,51.66878874843223,24.822069265008956,65.69702693990989,32.57172972644861,28.34203286185502,37.62073679437772,44.30413083207627,54.41814369157848,25.597563523623396,24.005116724886754,25.71744100218199,62.30305891124388,50.3365710806244,33.93255594918286,35.401757308669154,26.234263414542653,23.88108718967754,33.887851412095465,35.34378107378733,22.882947493180765,21.56221990431294,43.68759918385857,42.00981171155742,38.854466896139954,50.204574757404096,23.10541047381549,36.00223331608603,23.540564108707088,60.58603322096183,32.605570643125134,33.32950978006193,50.78848396058551,43.55687579400558
Worst Trade [%],1.307307841221586,-5.330504146448881,15.16844710785515,1.7365815295991855,-3.5484484496202784,-29.336310299159713,-34.96720572417137,-58.86918732580314,-46.67122017963939,72.46585620857088,-27.916792444188726,-4.156650416616358,-8.970597761373677,-6.554520414060493,-37.55343345082285,-41.60213054680696,1.278637080378439,-32.783649095373946,-42.8434272230001,0.924509522070031,-22.74426188130885,-19.819424591146436,0.3741171463588457,-42.07646084502103,3.850152262075363,-12.459104111568466,-15.888770280719362,-63.133470519627885,-28.72849549241016,-32.40286867672445,-22.270831272549305,-37.47239510067448,0.5894109489166016,-19.560566908520556,-35.16056249300558,4.781526184538701,-26.623731730963662,0.9948045067098538,-33.60439896137942,-38.819451674212516,-31.4093184095835,-59.909823108077454,-6.098207223349131,-19.261191609699427,-76.75787545014231,-52.61485190021392,6.924778184365989,-29.717379493260427,-17.8454300295772,-35.84014696470258,-22.106512327544444,-51.80112552249268,-12.07256757254373,-33.0926755151837,-5.7162898501455945,-4.0586961583472725,-18.16341217826691,1.3226397892039836,-0.5997698469140069,-16.156449408205123,-42.681872794727816,-3.7000417553072666,-2.244853216866178,-45.44220280442127,-60.100586476287155,-47.131008031252655,-34.64319895967664,-56.85394946691345,-8.625695584788362,-28.111752409294276,-1.0358392894697752,-25.269921251043897,-16.480556371555096,-4.370512168602325,-5.69652730183777,2.9348179362248783,-18.156652470446286,7.714136565195264,-12.123850356283956,-11.408197978830179,-2.77832705527032,-3.358570177328684,-20.183232493823784,-20.764445929375437,27.787101784108643
Avg Winning Trade [%],10.206300691761484,12.095316817888579,29.975913232531504,12.761994428643137,25.771218747621173,26.650546065213543,12.071763689415786,15.977955082394137,6.686555670735568,72.46585620857088,17.472304971787285,10.72910235664343,14.144959543164687,38.36090587895328,19.07536107260694,32.78460405518142,14.891057545768046,16.492896046828616,24.834193433259998,11.441805421829477,14.353908972974258,20.648768843909107,18.719160194810666,19.061533222806606,17.41367787269723,14.46505336872044,17.555716717367158,18.960907317319133,22.990213399035646,16.34035027619297,34.62221060464463,12.025470626952433,26.52881096069315,16.63528629061117,16.535034402920274,19.98796603105589,17.85531516540596,10.066511782922374,13.036497054901266,11.939725924469414,25.752077848476883,23.292856475557624,18.937550574898598,19.929858755003647,18.449832927516894,17.78542029489741,17.27160361530803,13.461527649564802,6.493489215787964,11.860390462999664,16.479172058364277,6.124123899318154,29.58850327295372,17.42672954589727,22.85587170529033,14.462095871024431,16.373756938112617,10.566765859790257,18.464444338526423,28.106547243275504,19.258240282013297,11.06437282666085,11.05440960313772,24.252098792852454,20.796619313527096,19.255793399138753,17.188962222386948,8.425648028692855,13.828137714440889,16.74965397324745,13.208936897156775,11.395569043020387,10.57542499213009,14.457052512221283,15.164455838290783,13.970713434352728,22.21464545681305,15.028410635392648,13.599817770278092,13.1231689084082,33.269149865391455,10.617753437958953,14.189210018349788,14.75090119359524,35.67198878905711
Avg Losing Trade [%],,-5.330504146448881,,,-3.5484484496202784,-19.439217694847855,-14.324212240080115,-34.061349333666676,-20.949201426304764,,-27.916792444188726,-4.156650416616358,-6.054283026009887,-6.554520414060493,-37.55343345082285,-41.60213054680696,,-32.783649095373946,-42.8434272230001,,-14.586410563075791,-19.819424591146436,,-42.07646084502103,,-8.812873465375004,-15.888770280719362,-33.75207992387283,-28.72849549241016,-25.051219329462814,-17.756669215724592,-26.13317353705621,,-17.095828725697064,-35.16056249300558,,-26.623731730963662,,-27.330830193982813,-32.829613217380036,-31.4093184095835,-59.909823108077454,-6.098207223349131,-8.495756307322475,-42.522878962536524,-36.58474988165739,,-19.976563501380756,-10.297474381727186,-18.398217034677064,-19.76439931898414,-35.18920462522107,-7.610761819911162,-17.130172075088122,-3.101715925742371,-4.0586961583472725,-9.456826304290624,,-0.5997698469140069,-14.725827472899166,-33.59995500850123,-3.7000417553072666,-2.244853216866178,-45.44220280442127,-60.100586476287155,-31.650840710200097,-19.475380147041022,-28.47278527438733,-8.625695584788362,-12.400183133521724,-1.0358392894697752,-15.103487177245189,-16.480556371555096,-2.2678561878159553,-5.69652730183777,,-18.156652470446286,,-12.123850356283956,-5.901769627512535,-2.77832705527032,-3.358570177328684,-20.183232493823784,-20.764445929375437,
