Company,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BAJAJ-AUTO,01-JAN-2016,04-APR-2022,1549 days,100000.0,38671.54564446135,-61.32845435553865,49.46981731532964,100.0,35948.147637821006,64.77455207514132,1530 days,104,104,0,0.0,38.46153846153847,5.139692714522435,-26.67065014623992,1.3505755745744876,-2.1929929080502166,2 days 13:12:00,8 days 23:37:30,0.3360210114136218,-589.6966764955641,-120.05621174781913,-0.3096597100470774,0.0005183349299823971,-19.052106162475695
BAJFINANCE,01-JAN-2016,04-APR-2022,1549 days,100000.0,47070.697459170326,-52.92930254082967,1128.8013254810646,100.0,35940.62774660353,67.26814189070667,1363 days,85,85,0,0.0,62.35294117647059,8.710157574024482,-52.22560349018291,1.8679082834877914,-4.583650673358597,2 days 23:32:49.811320754,10 days 18:00:00,0.6147667675309653,-622.6976769509373,-73.76674073154227,-0.2418471679078056,0.002108621173602304,-18.966373275802813
BAJAJFINSV,01-JAN-2016,04-APR-2022,1549 days,100000.0,49679.25881521779,-50.3207411847822,766.838895049902,100.0,31039.583961242053,62.99318433308042,1524 days,87,87,0,0.0,57.47126436781609,10.370262404663016,-46.73517819430126,1.8800576871645058,-3.8654817810851894,2 days 14:52:48,11 days 02:35:40.540540540,0.5525218107490835,-578.3993239630144,-81.90952218176751,-0.24125844656952863,0.0007514654270147884,-18.99233626440688
BAJAJHLDNG,01-JAN-2016,04-APR-2022,1549 days,100000.0,39930.63438152685,-60.06936561847315,247.5314531035736,100.0,36858.508432314826,68.42150290432484,1337 days,95,95,0,0.0,45.26315789473684,7.370796329889075,-45.9251159458071,1.2607275266505276,-2.4629624355203537,2 days 16:11:09.767441860,8 days 20:46:09.230769230,0.40186686229788193,-632.3091117734008,-98.20966874112804,-0.2843001933662117,0.0008072396768306167,-19.026195582697124
BALKRISIND,01-JAN-2016,04-APR-2022,1549 days,100000.0,61113.689248819086,-38.886310751180915,555.2281047159096,100.0,39627.53560655002,62.53174573543397,1048 days,89,89,0,0.0,62.92134831460674,7.671029720432886,-21.00823566425963,1.7370164133051906,-4.133320131267048,2 days 17:08:34.285714285,13 days 04:21:49.090909091,0.6828889233318918,-436.9248399009092,-92.41002674526185,-0.17520079790286003,0.0007962487650817509,-19.01644576687808
BANDHANBNK,27-MAR-2018,04-APR-2022,996 days,100000.0,19200.006343352507,-80.7999936566475,-33.1341092586764,100.0,12537.277094917072,84.76895701246224,887 days,54,54,0,0.0,50.0,6.021477131195798,-45.91119506853763,1.8209300489587428,-6.881227621216832,3 days 21:20:00,14 days 18:40:00,0.260520212510994,-1496.2961788268058,-48.517625321640736,-0.5353334424483015,0.009262580988521871,-18.808430303939797
BANKBARODA,01-JAN-2016,04-APR-2022,1549 days,100000.0,26148.450746497954,-73.85154925350204,-27.00408676516811,100.0,41140.73221004381,84.9219133601336,1321 days,92,92,0,0.0,64.13043478260869,11.019790878796574,-58.47242577740081,2.364833732483322,-6.957047728559982,2 days 16:16:16.271186440,19 days 10:54:32.727272727,0.615995371513259,-802.7342310163269,-66.94000133740992,-0.3191130734972776,0.002850411334928489,-18.937466866518292
BANKINDIA,01-JAN-2016,04-APR-2022,1549 days,100000.0,11556.866752571761,-88.44313324742824,-58.0315296122708,100.0,29669.26010471462,91.78419333173589,1324 days,94,94,0,0.0,54.25531914893617,7.981858594620202,-48.23648468115424,2.305729260557861,-6.840233805689916,2 days 19:17:38.823529411,16 days 13:23:43.255813953,0.4619573036927738,-940.8843962492373,-68.75435988923924,-0.43426739931679587,0.0020550795464047687,-18.94360037744767
BATAINDIA,01-JAN-2016,04-APR-2022,1549 days,100000.0,45845.80900061448,-54.15419099938552,292.06087630864596,100.0,30758.311034675433,62.68204867430687,1513 days,90,90,0,0.0,50.0,4.932067821779497,-30.759571913887733,1.4967128683023307,-2.985216810260865,2 days 16:00:00,10 days 22:56:00,0.44577873006120766,-601.713233326506,-109.25268090836231,-0.26781541240485146,0.0004582814560690944,-19.041305973272827
BERGEPAINT,01-JAN-2016,04-APR-2022,1549 days,100000.0,60030.603983787245,-39.969396016212755,287.1737149595324,100.0,34214.229314759636,46.15735403832355,1523 days,91,91,0,0.0,47.25274725274725,7.855848939070316,-15.178936594177761,1.5265274022559552,-2.3106163127314283,3 days 07:15:20.930232558,9 days 04:00:00,0.5471845918344908,-439.2241320462939,-105.08955564831894,-0.2454649088508694,0.0006685463443455985,-19.036374405110056
